2025-07-29 10:21:27 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-29 10:21:29 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-29 10:22:25 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-29 10:22:32 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-29 10:22:33 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-29 10:22:35 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-29 10:23:28 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-29 10:23:35 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-29 10:23:36 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-29 10:23:37 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-29 10:24:01 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-29 10:24:08 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-29 10:24:09 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-29 10:24:10 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-29 10:48:01 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-29 10:48:09 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-29 10:48:09 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-29 10:48:10 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-29 11:02:50 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-29 11:02:57 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-29 11:02:58 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-29 11:02:59 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
